"name","time","max_high"
"SNAP","13","16.729999542236328"
"NFLX","14","446.510009765625"
"TTD","19","297.6700134277344"
"FB","13","203.8677978515625"
"OKTA","16","179.0050048828125"
"SQ","17","77.18000030517578"
"NFLX","16","440.3399963378906"
"NFLX","13","452.0"
"FB","15","204.27000427246094"
"TTD","17","296.0"
"PINS","15","16.94499969482422"
"SHOP","16","754.1599731445312"
"SNAP","17","17.0"
"DDOG","19","65.86990356445312"
"TTD","14","290.07000732421875"
"BYND","18","135.7301025390625"
"BYND","13","137.97000122070312"
"SNAP","16","16.989999771118164"
"BYND","16","138.24000549316406"
"OKTA","17","178.5"
"SHOP","15","757.469970703125"
"DDOG","13","67.25"
"NFLX","17","441.7799987792969"
"OKTA","13","178.0"
"FB","16","205.10000610351562"
"DDOG","14","66.55000305175781"
"FB","18","204.98500061035156"
"NFLX","18","441.44000244140625"
"SHOP","13","758.0900268554688"
"NFLX","19","442.1400146484375"
"DDOG","17","65.0"
"SQ","13","72.80999755859375"
"BYND","19","135.85000610351562"
"SNAP","19","16.969999313354492"
"SQ","16","76.75"
"BYND","17","137.78990173339844"
"FB","19","206.92999267578125"
"OKTA","19","177.85000610351562"
"TTD","15","296.8562927246094"
"PINS","19","17.09000015258789"
"PINS","18","16.905000686645508"
"SHOP","17","755.8200073242188"
"TTD","18","295.7699890136719"
"DDOG","18","64.12999725341797"
"SQ","14","75.58999633789062"
"SQ","15","76.48999786376953"
"BYND","15","141.0"
"SNAP","15","17.149999618530273"
"DDOG","16","64.87999725341797"
"TTD","13","289.44989013671875"
"SNAP","18","16.920000076293945"
"TTD","16","294.5"
"BYND","14","139.55999755859375"
"SNAP","14","16.93000030517578"
"FB","17","205.63999938964844"
"SHOP","14","752.0"
"PINS","13","16.540000915527344"
"PINS","16","17.040000915527344"
"PINS","17","17.030000686645508"
"SHOP","18","751.7999877929688"
"SHOP","19","755.5700073242188"
"SQ","18","77.26000213623047"
"OKTA","15","179.88999938964844"
"SQ","19","78.25"
"FB","14","203.35000610351562"
"NFLX","15","440.6400146484375"
"OKTA","14","177.80679321289062"
"DDOG","15","65.0"
"OKTA","18","177.80999755859375"
"PINS","14","16.674999237060547"
